date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,4530.67,4641.17,4490.61,4497.51,101213040.0,3342373871.0,9715170043.0,0.010418041017503989
2020-01-03,4518.23,4532.05,4389.77,4427.07,80553629.0,2584309903.0,9715170043.0,0.00829153052838645
2020-01-06,4385.63,4387.01,4316.56,4352.48,87684058.0,2761448650.0,9715170043.0,0.00902547846428878
2020-01-07,4366.29,4410.49,4330.38,4387.01,57793343.0,1827510872.0,9715170043.0,0.005948773180932784
2020-01-08,4323.47,4388.39,4288.94,4375.96,52999684.0,1667143803.0,9715170043.0,0.005455353201788524
2020-01-09,4440.88,4486.46,4399.44,4447.79,78373446.0,2519927707.0,9715170043.0,0.008067120354364753
2020-01-10,4420.16,4450.55,4330.38,4345.57,55744373.0,1762516212.0,9715170043.0,0.005737868997997115
2020-01-13,4337.28,4389.77,4317.95,4375.96,62074912.0,1957169612.0,9715170043.0,0.006389482811443571
2020-01-14,4358.0,4391.15,4333.14,4335.9,41971228.0,1322400772.0,9715170043.0,0.004320174306186356
2020-01-15,4323.47,4349.72,4207.44,4211.59,67294431.0,2071443625.0,9715170043.0,0.006926737329573265
2020-01-16,4229.54,4272.36,4199.15,4217.11,58139589.0,1779302394.0,9715170043.0,0.005984412907099952
2020-01-17,4229.54,4261.31,4188.1,4207.44,47221927.0,1442665863.0,9715170043.0,0.0048606382380331535
2020-01-20,4212.97,4214.35,4077.6,4125.94,91563767.0,2730988423.0,9715170043.0,0.00942482391916277
2020-01-21,4083.12,4124.56,4008.53,4034.78,81796927.0,2399809083.0,9715170043.0,0.008419505437162836
2020-01-22,4033.4,4190.87,4030.63,4159.1,93771024.0,2796437181.0,9715170043.0,0.00965202086890534
2020-01-23,4102.46,4113.51,3961.57,4003.01,98694879.0,2884502300.0,9715170043.0,0.01015884215748873
2020-02-03,3603.81,3801.34,3602.43,3678.4,153086547.0,4119846241.0,9715170043.0,0.01575747478658928
2020-02-04,3715.7,3849.68,3715.7,3815.15,103628313.0,2838999600.0,9715170043.0,0.010666649429843644
2020-02-05,3799.96,3864.88,3759.9,3817.91,80068551.0,2213431075.0,9715170043.0,0.008241600573701867
2020-02-06,3833.11,3884.22,3787.53,3853.83,87186933.0,2412853830.0,9715170043.0,0.008974308490134988
2020-02-07,3797.2,3812.39,3758.52,3798.58,71378548.0,1956685390.0,9715170043.0,0.007347122869087594
2020-02-10,3764.04,3989.2,3746.09,3960.19,91123804.0,2575641112.0,9715170043.0,0.009379537732914594
2020-02-11,3943.61,4078.98,3943.61,4016.82,68535405.0,2004428742.0,9715170043.0,0.007054473024832058
2020-02-12,4004.39,4047.21,3985.05,4016.82,41758679.0,1213044774.0,9715170043.0,0.004298296253711799
2020-02-13,4072.07,4247.5,4069.31,4137.0,89569809.0,2704306521.0,9715170043.0,0.009219582220749402
2020-02-14,4143.9,4254.41,4139.76,4254.41,119770317.0,3648835020.0,9715170043.0,0.012328175057141406
2020-02-17,4273.74,4275.13,4132.85,4201.92,102213900.0,3098649744.0,9715170043.0,0.01052106134505051
2020-02-18,4145.28,4150.81,4077.6,4102.46,78595188.0,2334626807.0,9715170043.0,0.008089944658933645
2020-02-19,4105.23,4157.71,4081.74,4095.56,60820721.0,1812951830.0,9715170043.0,0.006260386666502323
2020-02-20,4076.22,4125.94,4044.45,4123.18,80199628.0,2370776286.0,9715170043.0,0.008255092566062253
2020-02-21,4116.28,4116.28,4005.77,4040.3,105920154.0,3098548225.0,9715170043.0,0.01090255276348126
2020-02-24,4019.58,4026.49,3925.66,3991.96,94999558.0,2730214174.0,9715170043.0,0.009778476092495091
2020-02-25,3980.91,4095.56,3978.15,4051.35,105297000.0,3080948537.0,9715170043.0,0.010838410396724747
2020-02-26,3985.05,4276.51,3950.52,4159.1,165445671.0,5002513795.0,9715170043.0,0.017029621742874933
2020-02-27,4175.67,4179.82,4058.26,4098.32,92275882.0,2745257988.0,9715170043.0,0.009498123202330037
2020-02-28,4040.3,4226.78,4030.63,4087.27,110129976.0,3303591401.0,9715170043.0,0.011335877345693104
2020-03-02,4130.09,4369.05,4130.09,4299.99,137574700.0,4275882350.0,9715170043.0,0.014160812357486804
2020-03-03,4352.48,4369.05,4203.3,4295.84,94283195.0,2913732844.0,9715170043.0,0.009704739555015116
2020-03-04,4320.71,4482.32,4246.12,4456.08,112979624.0,3595379313.0,9715170043.0,0.011629196761347927
2020-03-05,4389.77,4516.85,4364.91,4461.6,92417006.0,2966839995.0,9715170043.0,0.009512649350547246
2020-03-06,4393.92,4418.78,4280.65,4299.99,67952896.0,2124469847.0,9715170043.0,0.006994514321338266
2020-03-09,4226.78,4299.99,4145.28,4219.87,84361344.0,2579914142.0,9715170043.0,0.008683465510805368
2020-03-10,4226.78,4360.77,4171.53,4254.41,76599364.0,2358611141.0,9715170043.0,0.00788451088976992
2020-03-11,4258.55,4282.03,4193.63,4196.39,56331860.0,1728508587.0,9715170043.0,0.005798340096022136
2020-03-12,4145.28,4230.92,4088.65,4137.0,59349428.0,1776382655.0,9715170043.0,0.00610894382057292
2020-03-13,3936.71,4116.28,3895.27,4067.93,73253061.0,2122142606.0,9715170043.0,0.007540069877910216
2020-03-16,4069.31,4069.31,3907.7,3942.23,64661459.0,1868241398.0,9715170043.0,0.006655720765957158
2020-03-17,3943.61,3986.43,3770.95,3882.84,71078617.0,1994660448.0,9715170043.0,0.007316250429524262
2020-03-18,3784.76,3817.91,3592.76,3632.82,192869685.0,5201139414.0,9715170043.0,0.01985242503696237
2020-03-19,3563.76,3581.71,3339.98,3485.02,151007905.0,3777799191.0,9715170043.0,0.015543516411100248
2020-03-20,3522.32,3583.09,3461.54,3563.76,97529053.0,2492385260.0,9715170043.0,0.010038841581601744
2020-03-23,3431.15,3464.3,3368.99,3391.09,70378195.0,1736521157.0,9715170043.0,0.007244154727966814
2020-03-24,3464.3,3475.35,3364.85,3439.44,93404765.0,2315905318.0,9715170043.0,0.009614321168500828
2020-03-25,3501.6,3674.26,3501.6,3660.45,149760554.0,3885764290.0,9715170043.0,0.01541512431971336
2020-03-26,3621.77,3661.83,3591.38,3619.01,57625364.0,1513738536.0,9715170043.0,0.005931482799060257
2020-03-27,3690.84,3751.61,3649.4,3670.12,83489353.0,2235263796.0,9715170043.0,0.008593709902191158
2020-03-30,3605.19,3692.22,3591.38,3596.91,85001808.0,2238199382.0,9715170043.0,0.008749389627127086
2020-03-31,3639.73,3649.4,3522.32,3543.04,60704410.0,1568993380.0,9715170043.0,0.006248414565192186
2020-04-01,3653.54,3723.99,3625.91,3678.4,107433164.0,2866233201.0,9715170043.0,0.011058289615569624
2020-04-02,3660.45,3721.22,3639.73,3712.94,66309738.0,1768779862.0,9715170043.0,0.00682538110053747
2020-04-03,3694.98,3754.37,3674.26,3697.74,56945280.0,1531608325.0,9715170043.0,0.005861480524577165
2020-04-07,3776.48,3787.53,3701.89,3739.18,67154006.0,1817212750.0,9715170043.0,0.006912283130688586
2020-04-08,3715.7,3764.04,3694.98,3723.99,41251395.0,1113086186.0,9715170043.0,0.004246080595338891
2020-04-09,3743.32,3751.61,3674.26,3686.69,38726254.0,1036553092.0,9715170043.0,0.003986163271316403
2020-04-10,3707.41,3776.48,3672.88,3712.94,62460322.0,1685555121.0,9715170043.0,0.00642915375886849
2020-04-13,3693.6,3747.47,3675.64,3735.04,43264902.0,1167461399.0,9715170043.0,0.00445333450763153
2020-04-14,3743.32,3833.11,3732.27,3777.86,64241868.0,1759852284.0,9715170043.0,0.00661253150646475
2020-04-15,3757.14,3761.28,3667.35,3688.07,70359257.0,1885375493.0,9715170043.0,0.007242205405421127
2020-04-16,3663.21,3696.36,3646.63,3671.5,50238931.0,1333654608.0,9715170043.0,0.005171183909045245
2020-04-17,3699.12,3733.66,3667.35,3690.84,83813322.0,2246148609.0,9715170043.0,0.008627056616511761
2020-04-20,3699.12,3703.27,3598.29,3671.5,85012343.0,2239047180.0,9715170043.0,0.008750474013705331
2020-04-21,3639.73,3665.97,3556.85,3594.14,79072744.0,2057574273.0,9715170043.0,0.008139100360572043
2020-04-22,3566.52,3613.48,3544.42,3609.34,52540708.0,1362087685.0,9715170043.0,0.005408109973109196
2020-04-23,3617.63,3625.91,3577.57,3591.38,45051946.0,1171993134.0,9715170043.0,0.004637278174298241
2020-04-24,3584.47,3585.86,3526.46,3547.18,49794003.0,1279394254.0,9715170043.0,0.00512538666637932
2020-04-27,3551.32,3614.86,3530.6,3574.81,71075344.0,1840628652.0,9715170043.0,0.0073159135337225924
2020-04-28,3612.1,3660.45,3559.61,3645.25,77942703.0,2043120536.0,9715170043.0,0.008022783199369679
2020-04-29,3646.63,3726.75,3627.3,3710.17,80168834.0,2143185644.0,9715170043.0,0.00825192288402234
2020-04-30,3715.7,3750.23,3688.07,3701.89,69687813.0,1875880775.0,9715170043.0,0.007173092461743543
2020-05-06,3619.01,3639.73,3584.47,3627.3,92306498.0,2409411109.0,9715170043.0,0.009501274562508448
2020-05-07,3616.24,3616.24,3574.81,3587.24,57316477.0,1489177073.0,9715170043.0,0.00589968850224066
2020-05-08,3614.86,3642.49,3578.95,3627.3,91321417.0,2386804740.0,9715170043.0,0.00939987839593185
2020-05-11,3619.01,3657.68,3603.81,3648.01,79506739.0,2094807004.0,9715170043.0,0.008183772249800858
2020-05-12,3638.35,3643.87,3567.9,3581.71,77605774.0,2018276575.0,9715170043.0,0.007988102488840812
2020-05-13,3565.14,3581.71,3540.27,3581.71,62809862.0,1616500584.0,9715170043.0,0.006465132542405259
2020-05-14,3565.14,3567.9,3515.41,3520.94,70551216.0,1806027106.0,9715170043.0,0.007261964092006166
